"Name","Team","Shirt","Sets"
"Mattson","Madawaska","6","11"
"Hunt","UnityM","5","8"
"McGirr","UnityM","6","7"
"Szeto","Madawaska","1","7"
"Libero","InvGrp","6","5"
"Mantha Jori","TeamOne","3","5"
"Dimitrevij Nikola","TeamOne","1","5"
"Bramwell","UnityM","11","5"
"Dramov Ivo","TeamOne","6","4"
"McGirr Matthew","UnityM","6","4"
"Kovalchuk","UnityM","10","3"
"Hamilton","TeamOne","6","3"
"Milanodavic Aleksa","UnityM","3","3"
"Ristic","InvGrp","12","3"
"Hunt Steve","UnityM","5","3"
