"Name","Team","Shirt","Digs"
"Milanodavic Aleksa","UnityM","3","8"
"Dimitrevij Nikola","TeamOne","1","4"
"Gatto ","Madawaska","3","1"
"Sandi","TeamOne","11","1"
"Dimitrevij","TeamOne","1","1"
"Milanodavic","UnityM","3","1"
"Kavekics","InvGrp","4","0"
"Dramov Ivo","TeamOne","6","0"
"Cull Jasmin","TeamOne","7","0"
"Khalil","Madawaska","8","0"
"Boranprasit","InvGrp","10","0"
